block,encoding,fold,roc_auc,average_precision,columns
numeric,sin price_position,0,0.9701353363760462,0.7608866719070191,40
numeric,sin price_position,1,0.9646335646740032,0.706461534688533,40
numeric,sin price_position,2,0.9614628040057224,0.6923206378185522,40
numeric,sin price_position,3,0.9660456730769231,0.7135006470894145,40
numeric,sin price_position,4,0.9639353801817779,0.6940598812943259,40
numeric,continuo (1 columna),0,0.970371468361761,0.7716148819639689,41
numeric,continuo (1 columna),1,0.9654648011944921,0.7197266969509587,41
numeric,continuo (1 columna),2,0.9627249092109608,0.6767010179945461,41
numeric,continuo (1 columna),3,0.9679038185234305,0.7309852912676238,41
numeric,continuo (1 columna),4,0.9662387774329417,0.7130213713449467,41
numeric,percentiles one-hot (la barra),0,0.9771624174399847,0.8204047566989672,50
numeric,percentiles one-hot (la barra),1,0.97380136039374,0.8082822015383824,50
numeric,percentiles one-hot (la barra),2,0.9705589028282161,0.8023357776406391,50
numeric,percentiles one-hot (la barra),3,0.9767887240274093,0.8221185131507642,50
numeric,percentiles one-hot (la barra),4,0.9749587813123476,0.8116778851819553,50
numeric,continuo + percentiles (2 codificaciones),0,0.9771451815286185,0.8228143348735104,51
numeric,continuo + percentiles (2 codificaciones),1,0.973649283857767,0.8072311224093858,51
numeric,continuo + percentiles (2 codificaciones),2,0.9706827060636074,0.8022916137152358,51
numeric,continuo + percentiles (2 codificaciones),3,0.9768077199381079,0.8241357575543043,51
numeric,continuo + percentiles (2 codificaciones),4,0.9749224118820661,0.8107857166349913,51
numeric,piecewise-linear,0,0.9777243081505177,0.8367781231518387,50
numeric,piecewise-linear,1,0.9742403085771166,0.8152928750661238,50
numeric,piecewise-linear,2,0.9709647023219985,0.8119376464254987,50
numeric,piecewise-linear,3,0.9768802497789567,0.8228790926740508,50
numeric,piecewise-linear,4,0.9756879017956108,0.8210064450265466,50
numeric,"periodico (Fourier, 4 frecuencias)",0,0.9777070722391518,0.8353310678980052,48
numeric,"periodico (Fourier, 4 frecuencias)",1,0.9742748714262015,0.8164148967017562,48
numeric,"periodico (Fourier, 4 frecuencias)",2,0.9706586332122814,0.8117912325125028,48
numeric,"periodico (Fourier, 4 frecuencias)",3,0.9769907714412025,0.8264183199168217,48
numeric,"periodico (Fourier, 4 frecuencias)",4,0.9754662214586567,0.8192409262443385,48
numeric,percentiles 5 tramos,0,0.9764367855714738,0.8257063234045758,45
numeric,percentiles 5 tramos,1,0.9737788945418349,0.7895681113272234,45
numeric,percentiles 5 tramos,2,0.9709062396830637,0.7978796026748751,45
numeric,percentiles 5 tramos,3,0.9761497706675508,0.8019289306139714,45
numeric,percentiles 5 tramos,4,0.9752774467967191,0.8246849610714144,45
numeric,percentiles 20 tramos,0,0.9777208609682446,0.8305097587138723,60
numeric,percentiles 20 tramos,1,0.974568655643422,0.8104218164988594,60
numeric,percentiles 20 tramos,2,0.9704436970397271,0.7974433329946575,60
numeric,percentiles 20 tramos,3,0.9769147877984085,0.8277721528960578,60
numeric,percentiles 20 tramos,4,0.9750280564176457,0.8101729236949059,60
categorical,one-hot (lo que dice el informe),0,0.9771624174399847,0.8204047566989672,50
categorical,one-hot (lo que dice el informe),1,0.97380136039374,0.8082822015383824,50
categorical,one-hot (lo que dice el informe),2,0.9705589028282161,0.8023357776406391,50
categorical,one-hot (lo que dice el informe),3,0.9767887240274093,0.8221185131507642,50
categorical,one-hot (lo que dice el informe),4,0.9749587813123476,0.8116778851819553,50
categorical,target encoding suavizado,0,0.9691580602015912,0.811487931383711,13
categorical,target encoding suavizado,1,0.9646422053862743,0.7897952192690639,13
categorical,target encoding suavizado,2,0.9550491086167051,0.8002432291289524,13
categorical,target encoding suavizado,3,0.9709207145225465,0.7965718723262883,13
categorical,target encoding suavizado,4,0.9644081827754378,0.8021164996882914,13
categorical,one-hot + target (2 codificaciones),0,0.977021082966783,0.819945061888631,53
categorical,one-hot + target (2 codificaciones),1,0.9746032184925066,0.8077645358638181,53
categorical,one-hot + target (2 codificaciones),2,0.971153846153846,0.8022082015485508,53
categorical,one-hot + target (2 codificaciones),3,0.976837077254642,0.825034284733975,53
categorical,one-hot + target (2 codificaciones),4,0.9752324179782752,0.8122428043761598,53
categorical,hashing a 32 columnas,0,0.9492143871599354,0.704129972195837,42
categorical,hashing a 32 columnas,1,0.9516085549964054,0.7095105626884843,42
categorical,hashing a 32 columnas,2,0.9333233602949268,0.658453267356931,42
categorical,hashing a 32 columnas,3,0.949320637157383,0.6931648425255175,42
categorical,hashing a 32 columnas,4,0.9421639464641987,0.6682455375090698,42
categorical,ordinal (el control que debe perder),0,0.6970857521062284,0.35648543670193245,13
categorical,ordinal (el control que debe perder),1,0.721419980091799,0.39465411009429807,13
categorical,ordinal (el control que debe perder),2,0.6971738472543194,0.3266199153026021,13
categorical,ordinal (el control que debe perder),3,0.6782904371131743,0.32530334733464994,13
categorical,ordinal (el control que debe perder),4,0.715229092773221,0.3711374427985643,13
text,frase extraida one-hot (la barra),0,0.9771624174399847,0.8204047566989672,50
text,frase extraida one-hot (la barra),1,0.97380136039374,0.8082822015383824,50
text,frase extraida one-hot (la barra),2,0.9705589028282161,0.8023357776406391,50
text,frase extraida one-hot (la barra),3,0.9767887240274093,0.8221185131507642,50
text,frase extraida one-hot (la barra),4,0.9749587813123476,0.8116778851819553,50
text,bolsa de palabras binaria,0,0.9718675454683342,0.7854429780174415,440
text,bolsa de palabras binaria,1,0.9681641597080131,0.7557781775756408,440
text,bolsa de palabras binaria,2,0.9658165511169803,0.7513504510979677,440
text,bolsa de palabras binaria,3,0.9723730382404951,0.7670421543983336,440
text,bolsa de palabras binaria,4,0.9735715473287521,0.7951344932321739,440
text,tf-idf,0,0.9733463866635412,0.8213120935709064,440
text,tf-idf,1,0.9676042415528398,0.7744029784906951,440
text,tf-idf,2,0.9647882964674811,0.7666122356588557,440
text,tf-idf,3,0.9739272491158267,0.7958005045222438,440
text,tf-idf,4,0.9718569884726225,0.7968328421783509,440
text,frase + bolsa de palabras (2 codificaciones),0,0.9720433517642679,0.7833995512146025,460
text,frase + bolsa de palabras (2 codificaciones),1,0.9684337499308744,0.757055068552845,460
