mode,offset,fold,ap
buckets,0,0,0.747096688601041
buckets,0,1,0.7613198974199616
buckets,0,2,0.7484716542791859
buckets,0,3,0.7603701439415053
buckets,0,4,0.739713421723274
periodic,0,0,0.7745420920791052
periodic,0,1,0.78145806804444
periodic,0,2,0.7518074236689519
periodic,0,3,0.7665839478219455
periodic,0,4,0.7696603896770129
piecewise,0,0,0.8011559337576564
piecewise,0,1,0.7585104186295647
piecewise,0,2,0.7161944682245573
piecewise,0,3,0.7615786680225549
piecewise,0,4,0.7747288547570633
buckets,1000,0,0.7839916234712062
buckets,1000,1,0.7393215176849053
buckets,1000,2,0.7312584658506917
buckets,1000,3,0.7562741710383986
buckets,1000,4,0.7536441858320979
periodic,1000,0,0.7926333806242214
periodic,1000,1,0.7506833818776609
periodic,1000,2,0.740210269499522
periodic,1000,3,0.7162095573386603
periodic,1000,4,0.7400344319630854
piecewise,1000,0,0.7364647512093865
piecewise,1000,1,0.7697571594488344
piecewise,1000,2,0.7473157822906678
piecewise,1000,3,0.7781650363608129
piecewise,1000,4,0.7468203519817173
buckets,2000,0,0.8030141979823349
buckets,2000,1,0.7640179571984205
buckets,2000,2,0.7110451702520609
buckets,2000,3,0.7298903412548735
buckets,2000,4,0.6913938001396264
periodic,2000,0,0.7862635684299035
periodic,2000,1,0.7519443808878797
periodic,2000,2,0.7436644199568379
periodic,2000,3,0.7493307781312561
periodic,2000,4,0.7776553480066609
piecewise,2000,0,0.7860689648952278
piecewise,2000,1,0.7368346934750895
piecewise,2000,2,0.6723534916030014
piecewise,2000,3,0.7613272389682156
piecewise,2000,4,0.7608818048117313
buckets,3000,0,0.765912723610998
buckets,3000,1,0.7544926096369131
buckets,3000,2,0.7058831485625122
buckets,3000,3,0.7422147194121045
buckets,3000,4,0.775093190214264
periodic,3000,0,0.7557822647990622
periodic,3000,1,0.7750203304262195
periodic,3000,2,0.7653155000120597
periodic,3000,3,0.7656056824061231
periodic,3000,4,0.7108576148960581
piecewise,3000,0,0.7418496270696432
piecewise,3000,1,0.7550202414003067
piecewise,3000,2,0.7465888607930843
piecewise,3000,3,0.7625038078409226
piecewise,3000,4,0.7252926888014547
